Lot Numbers,lon,lat
105-Admissions,-97.94254,29.88629
106-Tower Garage,-97.94264587,29.8870256
108-Wood St Garage,-97.94395544,29.88751565
112-San Jacinto Hall,-97.94385,29.88676
113-Matthews Street Garage,-97.94392305,29.89079995
202-College Inn,-97.94643,29.88933
203-Hornsby Hall,-97.942012,29.890287
204-Jackson Rear,-97.94467,29.88997
303-Blanco Garage,-97.95306674,29.8871625
304-Academy Garage,-97.94794159,29.88596305
C13-Speck Garage,-97.95311691,29.89073725
EGS Garage,-97.93972899,29.8858676
Hill House Drive,-97.93778,29.88925
Jowers Access,-97.93174999,29.88734895
Old Main Drive,-97.93861,29.88955
P10-Bobcat Stad/East,-97.92404287,29.89119165
P10-Bobcat Stad/West,-97.92662013,29.88930285
P12-Mill St/BCV,-97.92055829,29.89497295
P14-Sewell North,-97.93337446,29.88976465
P5-Sessom Lot,-97.93732118,29.891219
P9-Coliseum Lot,-97.92979841,29.8899078
Patient Parking/SHC,-97.94622,29.89083
Pickard Street,-97.9415,29.8898
Pleasant Street,-97.94077,29.89031
R11-Freeman Bldg,-97.93578,29.88973
R12-Music Bldg,-97.94074,29.89088
R13-Strahan Reserve,-97.93349978,29.88884845
R14-Jowers,-97.933048,29.8867901
R15-State Street,-97.93844,29.88994
R16-Aqua Sports,-97.93771,29.89042
R17-CDC,-97.94969,29.88772
R20-Supple Science,-97.94657,29.88799
R21-ROTC,-97.95011,29.88745
R23-Commons,-97.94019,29.88803
R2-Sessom Lot,-97.93743301,29.8914696
R31-SHC/Cogen,-97.94616,29.89084
R36-Swinney House,-97.94613,29.88644
R39-End Zone Complex,-97.92553723,29.88974215
R40-Mittie Bldg,-97.94698,29.88881
R41-Strahan Expansion,-97.93154202,29.88905575
R42-Wood St Garage,-97.94395544,29.88751565
R44-McCoy,-97.94477,29.88812
R4-Alkek Garage,-97.94308,29.88893
R5-Pleasant Garage,-97.94076155,29.88999785
R6-Physical Plant,-97.93796346,29.8911091
R-Greenhouse,-97.94652,29.88613
Russell Circle,-97.94313,29.89062
Sabinal/Colorado Bldg,-97.93949,29.89116
State Street,-97.93837,29.88995
Student Ctr Dr/Arnold,-97.94362,29.88986
UAC/Nueces,-97.94201,29.88812
Wood St/Education Bldg,-97.93906,29.88816
LBJ Student Center Parking Garage,-97.94546633,29.88964715
Parking Lot for Peach Tree Lofts,-97.94351872,29.8951988
Activity Center lot,-97.9322686,29.8853444
North LBJ Drive,-97.94376329,29.89549155
